metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
BERTscore,relevance,-0.7602686511,0.01069430135,-0.6606060606,0.03758837757
BERTscore,fluency,-0.4220001518,0.2244478613,-0.2,0.579584
BERTscore,coherence,-0.6300636685,0.05087428476,-0.5878787879,0.07387770689
BERTscore,likert_consistency,-0.6835698007,0.02930361997,-0.4303030303,0.2144923325
BERTscore,aggregate,-0.745914279,0.01324214875,-0.5151515152,0.1275528697
BLEU,relevance,-0.7854164576,0.00709449112,-0.6606060606,0.03758837757
BLEU,fluency,-0.5552487906,0.09567392256,-0.4787878788,0.161522928
BLEU,coherence,-0.6935392043,0.0261314085,-0.6242424242,0.05371776722
BLEU,likert_consistency,-0.8739803824,0.0009451387393,-0.7818181818,0.007547007781
BLEU,aggregate,-0.8705483301,0.001047846313,-0.7818181818,0.007547007781
BLEURT,relevance,0.1490516518,0.6810971319,-0.05454545455,0.8810361812
BLEURT,fluency,0.05172612676,0.8871513577,0.1878787879,0.60321761
BLEURT,coherence,0.07920648114,0.8278187386,0.05454545455,0.8810361812
BLEURT,likert_consistency,0.2058692866,0.5682668246,0.296969697,0.4047016713
BLEURT,aggregate,0.1445911625,0.6902369126,0.1151515152,0.7514196523
CIDEr,relevance,-0.340791362,0.3352318462,-0.4060606061,0.2442822941
CIDEr,fluency,-0.2998416063,0.3999526116,-0.5272727273,0.1173080656
CIDEr,coherence,-0.1935295758,0.5921567846,-0.3939393939,0.2599977668
CIDEr,likert_consistency,-0.511635799,0.1306243779,-0.6606060606,0.03758837757
CIDEr,aggregate,-0.4086694796,0.2409711126,-0.6727272727,0.03304122255
ChrF,relevance,-0.8291137914,0.003018921868,-0.9151515152,0.0002044724061
ChrF,fluency,-0.4379626313,0.205537339,-0.3939393939,0.2599977668
ChrF,coherence,-0.6137918719,0.05908297422,-0.6363636364,0.04791172613
ChrF,likert_consistency,-0.7208367989,0.01866402331,-0.6848484848,0.02888279751
ChrF,aggregate,-0.7801747913,0.00776032957,-0.7939393939,0.006099923314
ChrF+,relevance,-0.8463221841,0.002018364515,-0.9151515152,0.0002044724061
ChrF+,fluency,-0.4523999437,0.1892573395,-0.3939393939,0.2599977668
ChrF+,coherence,-0.6199341749,0.05588871011,-0.6363636364,0.04791172613
ChrF+,likert_consistency,-0.7369918447,0.01502395096,-0.6848484848,0.02888279751
ChrF+,aggregate,-0.7969028884,0.005778669171,-0.7939393939,0.006099923314
ChrF++,relevance,-0.8582924604,0.001481561418,-0.9151515152,0.0002044724061
ChrF++,fluency,-0.4705414425,0.1699099078,-0.3939393939,0.2599977668
ChrF++,coherence,-0.6300009588,0.05090437062,-0.6363636364,0.04791172613
ChrF++,likert_consistency,-0.7549714333,0.01159026912,-0.6848484848,0.02888279751
ChrF++,aggregate,-0.8147402437,0.004093914392,-0.7939393939,0.006099923314
FactCC,relevance,-0.2818285364,0.4301775592,-0.3454545455,0.3282265115
FactCC,fluency,0.2513969631,0.483526892,0.1757575758,0.6271883448
FactCC,coherence,0.06855725923,0.8507338789,0.07878787879,0.8287173947
FactCC,likert_consistency,0.1200598695,0.7411220675,0.04242424242,0.9073638178
FactCC,aggregate,0.04800568046,0.8952292454,-0.05454545455,0.8810361812
FEQA,relevance,0.2597593329,0.4685900028,0.296969697,0.4047016713
FEQA,fluency,0.217479143,0.546133979,0.2363636364,0.5108853175
FEQA,coherence,0.1444856387,0.6904535788,0.05454545455,0.8810361812
FEQA,likert_consistency,0.3076274253,0.3872134705,0.2121212121,0.5563057751
FEQA,aggregate,0.2835220155,0.4272920314,0.296969697,0.4047016713
METEOR,relevance,-0.8100191707,0.004500005904,-0.8666666667,0.00117353818
METEOR,fluency,-0.4847772831,0.15559064,-0.4303030303,0.2144923325
