metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
BERTscore,relevance,-0.024284724175500233,0.9469084838579596,-0.01823716631040194,0.960119464496727
BERTscore,fluency,0.016212711055944868,0.9645440152214646,0.09090909090909088,0.8027717312071619
BERTscore,coherence,0.21938943152945184,0.5425252892773995,0.22424242424242422,0.5334005612725947
BERTscore,likert_consistency,-0.11202719040839225,0.7579929502151402,-0.10303030303030303,0.7769984634438898
BERTscore,aggregate,0.001162002494302634,0.9974581229758839,0.05454545454545454,0.8810361811618526
BLEU,relevance,0.05942593297926613,0.8704638667389987,-0.13373921960961418,0.7126222235089889
BLEU,fluency,0.0526782951038483,0.8850854714208419,0.006060606060606061,0.9867429111949892
BLEU,coherence,0.24456838273332734,0.4958745251827864,0.16363636363636364,0.6514773427962428
BLEU,likert_consistency,-0.24818428759103414,0.4893194888739464,-0.10303030303030303,0.7769984634438898
BLEU,aggregate,-0.011016825543469725,0.975903618854145,-0.04242424242424241,0.907363817812816
BLEURT,relevance,0.0026986331435088808,0.9940967829895897,0.12158110873601292,0.7379379712336098
BLEURT,fluency,0.37663014847485315,0.2833782634700162,0.4545454545454545,0.186904810349332
BLEURT,coherence,0.05385855684916842,0.8825255653926257,-0.01818181818181818,0.9602404181286243
BLEURT,likert_consistency,-0.47727585906956005,0.16304168726175597,-0.32121212121212117,0.3654683104386702
BLEURT,aggregate,-0.02415583625668569,0.9471899302895282,-0.10303030303030303,0.7769984634438898
CIDEr,relevance,0.3215973937152286,0.3648606568088534,-0.06686960980480709,0.8543750609172778
CIDEr,fluency,0.04595565228715445,0.8996840490013776,-0.13939393939393938,0.7009318849100584
CIDEr,coherence,0.0016384113102319493,0.9964159848797782,-0.11515151515151514,0.7514196523258483
CIDEr,likert_consistency,0.026962546204755727,0.9410622891072994,0.19999999999999998,0.5795840000000001
CIDEr,aggregate,0.12425743626933565,0.7323448930022814,-0.04242424242424241,0.907363817812816
ChrF,relevance,0.3131647939580093,0.3782751425344587,0.29179466096643103,0.4133266028608583
ChrF,fluency,0.35045524280042123,0.32079912121252707,0.3939393939393939,0.25999776683488757
ChrF,coherence,0.37253935591703613,0.2890638431114481,0.34545454545454546,0.32822651147136733
ChrF,likert_consistency,-0.20951689744629273,0.5612763704067082,0.06666666666666665,0.8548130882487426
ChrF,aggregate,0.23755373996311385,0.5086963342192036,0.33333333333333326,0.34659350708733405
ChrF+,relevance,0.30892225345370833,0.38511425131891036,0.29179466096643103,0.4133266028608583
ChrF+,fluency,0.3336157710159042,0.3461597215197382,0.3939393939393939,0.25999776683488757
ChrF+,coherence,0.3667721134292376,0.297182466918474,0.34545454545454546,0.32822651147136733
ChrF+,likert_consistency,-0.1939996814740621,0.5912399621684032,0.06666666666666665,0.8548130882487426
ChrF+,aggregate,0.23423654701360727,0.5148074651048234,0.33333333333333326,0.34659350708733405
ChrF++,relevance,0.2897579090475664,0.4167447327810308,0.29179466096643103,0.4133266028608583
