metric,dimension,pearson_r
FactCC,relevance,0.5968705707
FactCC,fluency,0.4540354779
FactCC,coherence,0.3462490347
FactCC,likert_consistency,0.4730724424
FactCC,aggregate,0.6484807786
Prism,relevance,0.5589127759
Prism,fluency,0.2720378716
Prism,coherence,0.2602639925
Prism,likert_consistency,0.6024286269
Prism,aggregate,0.5933763404
QAFactEval,relevance,0.2508989582
QAFactEval,fluency,0.6037842453
QAFactEval,coherence,0.4775119343
QAFactEval,likert_consistency,0.05826282528
QAFactEval,aggregate,0.4681256835
WER,relevance,0.4511069201
WER,fluency,0.5178445121
WER,coherence,0.3190017471
WER,likert_consistency,0.007831473876
WER,aggregate,0.4245683591
ChrF,relevance,0.313164794
ChrF,fluency,0.3504552428
ChrF,coherence,0.3725393559
ChrF,likert_consistency,0.2095168974
ChrF,aggregate,0.23755374
ChrF+,relevance,0.3089222535
ChrF+,fluency,0.333615771
ChrF+,coherence,0.3667721134
ChrF+,likert_consistency,0.1939996815
ChrF+,aggregate,0.234236547
ChrF++,relevance,0.289757909
ChrF++,fluency,0.3148577553
ChrF++,coherence,0.3661377611
ChrF++,likert_consistency,0.1931185545
ChrF++,aggregate,0.22071804
NUBIA,relevance,0.06888280823
NUBIA,fluency,0.1244211589
NUBIA,coherence,0.3616569714
NUBIA,likert_consistency,0.2771500882
NUBIA,aggregate,0.2722206442
METEOR,relevance,0.2619666738
METEOR,fluency,0.2167692305
METEOR,coherence,0.2637741759
METEOR,likert_consistency,0.2136170144
METEOR,aggregate,0.1382168962
SummaC,relevance,0.1599072944
SummaC,fluency,0.1727760466
SummaC,coherence,0.3369702841
SummaC,likert_consistency,0.3504711442
SummaC,aggregate,0.04768241517
ROUGE-1,relevance,0.2484412438
ROUGE-1,fluency,0.199977685
ROUGE-1,coherence,0.2702017765
ROUGE-1,likert_consistency,0.1297047518
ROUGE-1,aggregate,0.1639952486
BLEURT,relevance,0.002698633144
BLEURT,fluency,0.3766301485
BLEURT,coherence,0.05385855685
BLEURT,likert_consistency,0.4772758591
BLEURT,aggregate,0.02415583626
TER,relevance,0.2337541404
TER,fluency,0.1981481698
TER,coherence,0.2417997135
TER,likert_consistency,0.08758053974
TER,aggregate,0.1705770701
ROUGE-L,relevance,0.1235308962
ROUGE-L,fluency,0.05507348291
ROUGE-L,coherence,0.1586371567
ROUGE-L,likert_consistency,0.3681870537
ROUGE-L,aggregate,0.1808745606
ROUGE-Lsum,relevance,0.1235308962
ROUGE-Lsum,fluency,0.05507348291
ROUGE-Lsum,coherence,0.1586371567
ROUGE-Lsum,likert_consistency,0.3681870537
ROUGE-Lsum,aggregate,0.1808745606
NIST,relevance,0.210665217
NIST,fluency,0.1176747873
NIST,coherence,0.2206296055
NIST,likert_consistency,0.235208474
NIST,aggregate,0.06117256942
FEQA,relevance,0.3489648866
FEQA,fluency,0.1040269497
FEQA,coherence,0.004659489988
FEQA,likert_consistency,0.1756493398
FEQA,aggregate,0.07025247986
ROUGE-2,relevance,0.024931106
ROUGE-2,fluency,0.07075601586
ROUGE-2,coherence,0.2878775665
ROUGE-2,likert_consistency,0.2372391001
ROUGE-2,aggregate,0.001280229708
BLEU,relevance,0.05942593298
BLEU,fluency,0.0526782951
BLEU,coherence,0.2445683827
BLEU,likert_consistency,0.2481842876
BLEU,aggregate,0.01101682554
MoverScore,relevance,0.06661417981
MoverScore,fluency,0.06199730086
MoverScore,coherence,0.2310320803
MoverScore,likert_consistency,0.166853628
MoverScore,aggregate,0.02668031176
CIDEr,relevance,0.3215973937
CIDEr,fluency,0.04595565229
CIDEr,coherence,0.00163841131
CIDEr,likert_consistency,0.0269625462
CIDEr,aggregate,0.1242574363
Yules_I,relevance,0.00888225952
Yules_I,fluency,0.05128034427
Yules_I,coherence,0.01917243857
Yules_I,likert_consistency,0.261899301
Yules_I,aggregate,0.1269735193
BERTscore,relevance,0.02428472418
BERTscore,fluency,0.01621271106
BERTscore,coherence,0.2193894315
BERTscore,likert_consistency,0.1120271904
BERTscore,aggregate,0.001162002494
