metric,dimension,spearman_r
FactCC,relevance,0.723407597
FactCC,fluency,0.6363636364
FactCC,coherence,0.4060606061
FactCC,likert_consistency,0.4666666667
FactCC,aggregate,0.7333333333
WER,relevance,0.5167197121
WER,fluency,0.6848484848
WER,coherence,0.5151515152
WER,likert_consistency,0.2121212121
WER,aggregate,0.6242424242
Prism,relevance,0.6200636546
Prism,fluency,0.2
Prism,coherence,0.296969697
Prism,likert_consistency,0.7090909091
Prism,aggregate,0.7212121212
NUBIA,relevance,0.2431622175
NUBIA,fluency,0.3818181818
NUBIA,coherence,0.5515151515
NUBIA,likert_consistency,0.2606060606
NUBIA,aggregate,0.5757575758
QAFactEval,relevance,0.2796365501
QAFactEval,fluency,0.4424242424
QAFactEval,coherence,0.3575757576
QAFactEval,likert_consistency,0.2121212121
QAFactEval,aggregate,0.4909090909
SummaC,relevance,0.4680872686
SummaC,fluency,0.103030303
SummaC,coherence,0.2848484848
SummaC,likert_consistency,0.2121212121
SummaC,aggregate,0.3939393939
ChrF,relevance,0.291794661
ChrF,fluency,0.3939393939
ChrF,coherence,0.3454545455
ChrF,likert_consistency,0.06666666667
ChrF,aggregate,0.3333333333
ChrF+,relevance,0.291794661
ChrF+,fluency,0.3939393939
ChrF+,coherence,0.3454545455
ChrF+,likert_consistency,0.06666666667
ChrF+,aggregate,0.3333333333
ChrF++,relevance,0.291794661
ChrF++,fluency,0.3939393939
ChrF++,coherence,0.3454545455
ChrF++,likert_consistency,0.06666666667
ChrF++,aggregate,0.3333333333
METEOR,relevance,0.2978737164
METEOR,fluency,0.3575757576
METEOR,coherence,0.3212121212
METEOR,likert_consistency,0.006060606061
METEOR,aggregate,0.2727272727
TER,relevance,0.291794661
TER,fluency,0.2848484848
TER,coherence,0.2242424242
TER,likert_consistency,0.1393939394
TER,aggregate,0.2727272727
ROUGE-L,relevance,0.3100318273
ROUGE-L,fluency,0.05454545455
ROUGE-L,coherence,0.09090909091
ROUGE-L,likert_consistency,0.3818181818
ROUGE-L,aggregate,0.2727272727
ROUGE-Lsum,relevance,0.3100318273
ROUGE-Lsum,fluency,0.05454545455
ROUGE-Lsum,coherence,0.09090909091
ROUGE-Lsum,likert_consistency,0.3818181818
ROUGE-Lsum,aggregate,0.2727272727
BLEURT,relevance,0.1215811087
BLEURT,fluency,0.4545454545
BLEURT,coherence,0.01818181818
BLEURT,likert_consistency,0.3212121212
BLEURT,aggregate,0.103030303
MoverScore,relevance,0.08510677612
MoverScore,fluency,0.1151515152
MoverScore,coherence,0.3090909091
MoverScore,likert_consistency,0.2121212121
MoverScore,aggregate,0.0303030303
ROUGE-2,relevance,0.08510677612
ROUGE-2,fluency,0.1151515152
ROUGE-2,coherence,0.3090909091
ROUGE-2,likert_consistency,0.2121212121
ROUGE-2,aggregate,0.0303030303
ROUGE-1,relevance,0.08510677612
ROUGE-1,fluency,0.1636363636
ROUGE-1,coherence,0.2484848485
ROUGE-1,likert_consistency,0.0303030303
ROUGE-1,aggregate,0.1636363636
Yules_I,relevance,0.334348049
Yules_I,fluency,0.01818181818
Yules_I,coherence,0.01818181818
Yules_I,likert_consistency,0.1393939394
Yules_I,aggregate,0.1757575758
FEQA,relevance,0.2857156055
FEQA,fluency,0.006060606061
FEQA,coherence,0.1878787879
FEQA,likert_consistency,0.04242424242
FEQA,aggregate,0.05454545455
CIDEr,relevance,0.0668696098
CIDEr,fluency,0.1393939394
CIDEr,coherence,0.1151515152
CIDEr,likert_consistency,0.2
CIDEr,aggregate,0.04242424242
NIST,relevance,0.04255338806
NIST,fluency,0.1515151515
NIST,coherence,0.2121212121
NIST,likert_consistency,0.06666666667
NIST,aggregate,0.09090909091
BERTscore,relevance,0.01823716631
BERTscore,fluency,0.09090909091
BERTscore,coherence,0.2242424242
BERTscore,likert_consistency,0.103030303
BERTscore,aggregate,0.05454545455
BLEU,relevance,0.1337392196
BLEU,fluency,0.006060606061
BLEU,coherence,0.1636363636
BLEU,likert_consistency,0.103030303
BLEU,aggregate,0.04242424242
